,VolcanoID,V_Name,Country,Region,Subregion,Latitude,Longitude,PEI,H_active,VEI_Holoce,hazard,class,risk
4,211001,Larderello,Italy,Mediterranean and W Asia,Italy,43.25,10.8699999999999,4,0,3,,U-HR,
5,211003,Vulsini,Italy,Mediterranean and W Asia,Italy,42.6,11.93,5,0,Unknown VEI,,U-HR,
6,211004,Alban Hills,Italy,Mediterranean and W Asia,Italy,41.729999999999905,12.6999999999999,7,0,No confirmed eruptions,,U-NHHR,
7,211010,Campi Flegrei,Italy,Mediterranean and W Asia,Italy,40.826999999999906,14.1389999999999,7,1,5,3.0,,3.0
8,211020,Vesuvius,Italy,Mediterranean and W Asia,Italy,40.820999999999906,14.426,7,1,5,3.0,,3.0
9,211030,Ischia,Italy,Mediterranean and W Asia,Italy,40.729999999999905,13.897,5,0,3,,U-HR,
10,211031,Palinuro,Italy,Mediterranean and W Asia,Italy,39.479999999999905,14.83,2,0,Unknown VEI,,U-HR,
11,211040,Stromboli,Italy,Mediterranean and W Asia,Italy,38.789,15.2129999999999,3,1,3,1.0,,1.0
12,211041,Panarea,Italy,Mediterranean and W Asia,Italy,38.63,15.07,3,0,No confirmed eruptions,,U-NHHR,
13,211042,Lipari,Italy,Mediterranean and W Asia,Italy,38.479999999999905,14.9499999999999,5,0,Unknown VEI,,U-HR,
14,211050,Vulcano,Italy,Mediterranean and W Asia,Italy,38.404,14.962,4,1,4,3.0,,3.0
15,211060,Etna,Italy,Mediterranean and W Asia,Italy,37.734,15.004,5,1,5,2.0,,2.0
16,211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and W Asia,Italy,37.1,12.6999999999999,6,1,3,1.0,,2.0
17,211071,Pantelleria,Italy,Mediterranean and W Asia,Italy,36.77,12.02,4,1,1,,U-HHR,
